,y,predicted
15500,0.0,0.0
29034,0.0,0.0
11199,0.0,0.0
22247,0.0,0.0
27180,0.0,0.0
33831,0.0,0.0
961,0.0,0.0
10746,0.0,0.0
15195,0.0,0.0
34319,0.0,0.0
39660,0.0,0.0
39653,0.0,0.0
23460,0.0,1.0
29763,0.0,0.0
5540,0.0,0.0
7660,0.0,0.0
34332,0.0,0.0
9736,0.0,0.0
17686,0.0,0.0
13738,0.0,0.0
23586,0.0,0.0
24445,0.0,0.0
32091,0.0,0.0
11813,0.0,0.0
41134,0.0,0.0
19271,0.0,0.0
4732,0.0,0.0
27745,0.0,0.0
18302,0.0,0.0
3468,0.0,0.0
37452,0.0,0.0
20245,0.0,0.0
19702,0.0,0.0
16102,0.0,0.0
26906,0.0,0.0
31775,1.0,1.0
31770,0.0,0.0
17907,1.0,0.0
4109,0.0,0.0
40805,0.0,0.0
20600,0.0,0.0
5061,1.0,1.0
1495,0.0,0.0
13441,0.0,0.0
39376,0.0,0.0
39257,0.0,0.0
36507,0.0,0.0
19109,0.0,0.0
7919,0.0,0.0
27103,0.0,0.0
19638,0.0,0.0
27293,0.0,0.0
38979,0.0,0.0
31054,0.0,0.0
15848,0.0,0.0
31472,0.0,0.0
13029,0.0,0.0
23607,0.0,0.0
2369,0.0,0.0
23075,0.0,0.0
4298,0.0,0.0
19643,0.0,0.0
37604,0.0,0.0
19947,0.0,0.0
38049,0.0,0.0
20809,0.0,0.0
8242,0.0,0.0
32823,1.0,1.0
17022,0.0,0.0
25102,0.0,0.0
18618,0.0,0.0
393,0.0,0.0
24499,0.0,0.0
31477,0.0,0.0
19615,0.0,0.0
3198,1.0,0.0
32673,0.0,0.0
3102,0.0,0.0
37020,0.0,0.0
29535,0.0,0.0
30067,0.0,0.0
34506,1.0,0.0
7477,0.0,0.0
10915,1.0,0.0
32083,0.0,0.0
11578,0.0,0.0
14556,0.0,0.0
21657,0.0,0.0
29579,0.0,0.0
12116,0.0,0.0
39896,0.0,0.0
3474,0.0,0.0
37245,0.0,0.0
15124,0.0,0.0
26430,1.0,1.0
32104,0.0,0.0
35808,0.0,0.0
10779,0.0,0.0
31375,0.0,0.0
15225,0.0,0.0
32560,0.0,0.0
36797,0.0,0.0
38689,0.0,0.0
10518,1.0,1.0
28858,0.0,0.0
14245,0.0,0.0
